,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodKill,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,1.0,12.0,34,5.0,1,2,74452,15.8,53.0,21,21393.0,97599,21393,71312,0.0,33,4,5,3,56.0,1.0,True,False,14.0,63127,59050,1.0,4,7.0,0.0,103,9,39,1389,18,8,639.6,258644,58630,32518,0.0,203,1,0.0,1.0,1,30.0,0,427955,45444,78521,2.0,0,0,210.8,159,1842.0,119.0,751864,111320,0,116459,28.0,31549,719,541,1237,1045,11,0,65261,7241,5415,9,11.0,5.0,0,0.0,110,4,13,54,True
1,2.0,10.0,43,2.0,0,1,68641,14.8,36.0,22,6192.0,24822,6192,99541,0.0,40,10,3,0,51.0,8.0,False,False,38.0,54964,51525,1.0,0,0.0,20.0,104,6,33,1654,11,7,547.2,211296,29985,60611,0.0,95,0,5.0,0.0,0,22.0,0,318906,42406,76534,1.0,0,0,343.4,96,1842.0,82.0,583433,75809,2126,144391,0.0,21889,2110,547,752,1195,11,0,53226,3416,7241,1,3.0,55.0,0,0.0,124,14,8,60,False
2,1.0,1.0,50,1.0,2,19,78068,15.6,29.0,12,22352.0,98633,22352,81547,0.0,38,4,5,2,3.0,1.0,False,True,3.0,64374,54300,0.0,2,5.0,0.0,92,8,45,500,22,8,383.6,275598,74237,45015,1.0,167,1,0.0,4.0,0,15.0,0,310281,48430,56120,4.0,0,0,81.4,192,1903.0,0.0,646965,126266,0,109998,0.0,24772,48,469,2123,1117,6,2,61083,3595,8856,8,16.0,15.0,0,0.0,130,4,10,56,True
3,3.0,15.0,32,1.0,0,0,61728,14.2,5.0,18,10973.0,31754,10973,106127,0.0,45,7,5,2,26.0,1.0,True,False,12.0,53704,50905,0.0,0,0.0,10.0,100,9,38,4543,11,9,649.4,160069,41735,76141,0.0,120,0,5.0,0.0,0,28.0,0,306859,33313,74238,1.0,0,0,107.6,102,1903.0,0.0,538891,83908,0,153979,0.0,33236,526,496,477,1388,9,1,71957,8857,3593,2,3.0,45.0,0,0.0,100,10,8,43,False
4,3.0,25.0,38,0.0,0,5,80499,16.2,58.0,11,23960.0,81476,23960,224480,0.0,38,1,3,4,75.0,1.0,False,True,22.0,66578,60583,3.0,2,4.0,5.0,100,9,34,56,10,7,711.4,105020,25779,64426,0.0,147,1,0.0,1.0,0,57.0,0,691874,123131,111180,4.0,0,0,176.6,146,2327.0,85.0,885191,155070,1378,183916,16.0,68949,0,660,1083,1357,5,0,88292,6154,8307,8,14.0,25.0,0,0.0,143,1,5,74,True
5,7.0,35.0,62,4.0,1,2,83739,16.6,92.0,19,10680.0,54389,10680,244498,0.0,34,5,2,1,90.0,8.0,True,False,41.0,69638,66225,1.0,0,0.0,10.0,132,9,38,1230,19,7,877.6,246380,62271,29810,0.0,142,0,5.0,0.0,0,86.0,0,479492,72050,163388,7.0,0,0,239.6,383,2327.0,105.0,798315,142639,0,199540,12.0,50620,453,656,2435,1100,7,0,72438,8315,6337,5,6.0,50.0,0,0.0,151,7,8,69,False
6,3.0,29.0,48,1.0,0,1,78036,16.0,33.0,10,9766.0,55568,9766,143090,0.0,45,1,3,2,70.0,3.0,True,False,5.0,63950,66510,4.0,0,0.0,15.0,100,7,35,0,13,6,538.2,279574,61586,85378,0.0,147,0,5.0,0.0,0,40.0,0,418791,46981,71101,3.0,0,0,129.2,190,2263.0,0.0,785923,117244,2597,172585,0.0,20958,8495,647,1303,1615,8,0,87554,8673,16102,3,5.0,55.0,0,0.0,66,2,1,37,False
7,5.0,17.0,67,0.0,1,8,90700,17.2,67.0,16,50159.0,121099,50159,135414,0.0,35,2,5,3,12.0,2.0,False,True,4.0,74674,69140,1.0,3,6.0,0.0,120,7,45,1044,22,9,733.8,509062,85068,65909,0.0,188,1,0.0,4.0,0,13.0,0,316669,44767,82142,1.0,0,0,416.4,203,2263.0,0.0,956589,145940,0,158300,0.0,39863,797,617,2853,1236,7,1,130854,16102,10242,11,24.0,15.0,0,0.0,154,2,3,77,True
8,2.0,26.0,53,1.0,1,8,66622,14.6,42.0,14,22868.0,99135,22868,81352,0.0,19,4,5,4,21.0,2.0,False,False,5.0,57337,53310,0.0,1,2.0,0.0,92,10,38,398,23,8,523.6,276992,74790,33770,0.0,172,1,0.0,1.0,0,73.0,0,334517,40196,56843,2.0,0,0,156.6,149,1865.0,0.0,689694,121832,2455,92124,0.0,15572,736,469,874,529,7,1,78183,6842,1508,7,15.0,5.0,0,0.0,118,4,5,57,True
9,0.0,10.0,24,2.0,0,0,53589,13.0,33.0,17,5453.0,31038,5453,111394,0.0,38,4,3,0,24.0,2.0,True,True,10.0,46831,44400,0.0,0,0.0,5.0,104,6,19,526,10,7,693.6,146259,31508,76906,0.0,108,0,5.0,0.0,0,42.0,0,251246,31637,60917,3.0,0,0,316.6,109,1865.0,0.0,458801,64656,2899,144668,0.0,14851,1089,451,2218,1187,8,0,61292,1508,6842,1,2.0,40.0,0,0.0,109,4,12,44,False
10,0.0,0.0,15,0.0,0,22,37752,10.8,0.0,12,18841.0,33489,18841,19078,0.0,6,4,2,2,0.0,0.0,True,True,0.0,35927,25035,0.0,1,2.0,0.0,48,5,27,193,24,6,323.2,42107,11290,11024,0.0,105,0,0.0,0.0,0,0.0,0,251196,27641,23913,0.0,0,0,66.8,29,933.0,0.0,311625,40499,742,34978,0.0,9433,94,355,460,112,6,1,18320,1563,38,5,5.0,0.0,0,0.0,40,5,2,23,True
11,0.0,0.0,6,0.0,0,0,24170,8.2,0.0,6,1335.0,14179,1335,22650,0.0,27,0,0,0,0.0,0.0,False,False,0.0,19341,17160,0.0,0,0.0,5.0,38,1,6,0,2,4,396.4,77661,10174,11513,0.0,59,0,0.0,0.0,0,0.0,0,61463,3578,36158,0.0,0,0,37.2,33,933.0,0.0,160671,13794,398,49236,0.0,9924,135,176,667,510,5,0,21547,38,1562,0,0.0,25.0,0,0.0,29,0,2,18,False
12,4.0,20.0,37,0.0,0,3,59179,13.8,21.0,14,6203.0,18071,6203,158904,0.0,46,4,2,0,21.0,1.0,True,False,26.0,52099,49950,1.0,0,0.0,15.0,98,10,32,423,9,7,476.0,191259,55229,69734,0.0,116,0,5.0,0.0,0,56.0,0,306975,65349,106687,1.0,0,0,97.6,134,1866.0,0.0,555840,124138,890,179737,0.0,45847,4722,418,1241,1343,14,0,57602,3556,3311,2,4.0,55.0,0,0.0,81,4,4,43,False
13,1.0,6.0,50,2.0,1,3,68928,14.8,13.0,16,23974.0,103352,23974,180105,0.0,32,1,6,4,20.0,0.0,False,True,10.0,61422,55960,2.0,2,2.0,0.0,98,13,46,746,18,10,597.8,236672,65870,61861,0.0,131,1,0.0,2.0,0,42.0,0,353747,78158,108073,4.0,0,0,107.4,245,1866.0,0.0,642112,147637,4974,177786,0.0,45487,1476,427,1674,984,12,1,51690,3604,7849,9,12.0,10.0,0,0.0,122,1,3,55,True
14,0.0,2.0,67,0.0,1,10,72641,15.4,9.0,20,19059.0,61652,19059,98220,0.0,27,0,8,3,18.0,3.0,True,False,2.0,64961,56058,0.0,1,4.0,0.0,114,11,49,768,20,12,658.8,185072,48486,12745,0.0,171,0,0.0,0.0,0,15.0,0,433553,57404,86426,0.0,1,0,365.6,72,1784.0,0.0,677536,108391,1196,105113,0.0,28282,0,610,823,715,5,3,58907,2495,5935,6,15.0,15.0,0,0.0,158,8,26,0,True
15,2.0,23.0,49,0.0,0,0,57556,13.4,46.0,44,7455.0,63477,7455,90767,0.0,49,0,2,1,48.0,5.0,False,False,20.0,55011,52165,2.0,0,0.0,5.0,128,6,27,1068,9,5,349.8,101243,11209,51515,0.0,132,0,0.0,0.0,0,73.0,0,420701,68332,77199,0.0,0,0,325.6,110,1784.0,0.0,567354,85483,4557,131228,0.0,26473,754,526,821,1290,8,0,45406,5935,2509,3,4.0,35.0,0,2.0,133,35,13,0,False
16,1.0,8.0,13,1.0,0,7,31714,9.6,6.0,26,9157.0,27734,9157,19154,0.0,11,4,0,1,12.0,3.0,False,True,6.0,30268,23875,0.0,0,0.0,0.0,64,4,14,585,8,5,440.8,115632,14655,8357,0.0,68,0,0.0,0.0,0,10.0,0,119730,14030,27637,0.0,0,0,256.8,68,939.0,0.0,265048,33498,602,36703,0.0,4769,424,339,595,209,7,0,29680,4810,706,3,3.0,0.0,0,0.0,69,5,5,34,True
17,3.0,16.0,9,0.0,0,0,27191,9.0,6.0,19,1851.0,11938,1851,30089,0.0,14,7,0,1,14.0,5.0,True,False,9.0,23288,22100,1.0,0,0.0,0.0,69,3,10,275,4,4,448.8,29813,7947,15986,0.0,79,0,0.0,0.0,0,26.0,0,129036,13921,25125,5.0,0,0,169.2,47,939.0,0.0,188385,22579,623,45925,0.0,3070,0,233,626,277,4,0,29532,706,4810,0,0.0,20.0,0,0.0,39,10,1,28,False
18,3.0,37.0,65,1.0,1,6,83451,16.4,15.0,16,16339.0,92985,16339,141713,0.0,31,3,3,4,42.0,8.0,False,False,10.0,64727,60290,4.0,1,4.0,0.0,111,10,32,655,13,7,730.2,290514,54996,67969,0.0,162,1,0.0,3.0,0,21.0,0,478632,61208,70217,6.0,0,0,246.6,143,2181.0,0.0,854691,121520,4585,155676,0.0,28924,636,625,1790,944,7,0,85540,5312,17485,7,15.0,25.0,0,0.0,164,3,22,68,True
19,3.0,6.0,40,1.0,1,0,76007,15.6,22.0,25,12746.0,45097,12746,113039,0.0,32,6,2,1,36.0,11.0,True,False,9.0,64299,60780,1.0,0,0.0,5.0,111,8,31,560,17,6,751.0,402172,64042,58466,0.0,146,0,5.0,0.0,0,36.0,0,258705,35263,89444,8.0,0,0,135.2,103,2181.0,0.0,766059,116794,4413,153227,0.0,43800,19562,648,731,1058,9,0,105177,17486,5311,5,9.0,35.0,0,0.0,146,7,7,63,False
20,15.0,16.0,25,5.0,0,1,73286,15.6,72.0,24,6495.0,45202,6495,145827,0.0,36,11,0,3,47.0,6.0,True,False,23.0,57912,54200,6.0,0,0.0,25.0,110,3,16,1840,7,4,645.4,179097,36844,107214,5.0,156,0,5.0,0.0,1,38.0,0,614390,54458,64176,3.0,0,0,107.0,111,2299.0,0.0,886005,98491,0,178994,0.0,52029,692,714,1096,1244,7,0,92513,7185,7599,1,1.0,55.0,0,0.0,157,12,14,70,False
21,2.0,7.0,53,4.0,2,15,90251,17.4,39.0,12,20389.0,106656,20389,111366,0.0,16,6,2,3,34.0,5.0,False,True,19.0,70917,64985,4.0,5,8.0,0.0,101,9,36,1642,20,7,877.4,570325,104491,40202,0.0,175,1,0.0,3.0,0,43.0,0,290668,30499,89926,3.0,0,0,134.0,207,2299.0,0.0,940996,142595,1763,137315,0.0,63840,2467,674,2838,514,12,0,79998,7600,7183,10,16.0,10.0,0,2.0,205,6,16,66,True
22,6.0,11.0,30,0.0,0,1,80649,16.2,12.0,26,9768.0,55264,9768,144213,0.0,51,14,3,0,15.0,0.0,True,True,16.0,69022,64000,0.0,0,0.0,15.0,119,10,41,1855,11,6,585.0,99456,18442,53271,1.0,178,0,5.0,0.0,0,35.0,0,691178,98675,95809,1.0,0,0,122.6,120,2225.0,107.0,859990,122953,4054,164690,22.0,33505,2236,577,1183,1740,9,0,69353,5831,15605,3,6.0,55.0,0,1.0,162,16,3,74,False
23,0.0,26.0,58,0.0,2,7,94830,17.2,43.0,6,26316.0,117190,26316,106659,0.0,41,1,6,5,68.0,5.0,False,False,15.0,76501,68310,2.0,3,6.0,0.0,117,11,51,1855,25,9,545.0,295135,51351,21520,7.0,184,1,0.0,3.0,0,94.0,0,451182,69268,137601,5.0,0,0,232.4,156,2225.0,110.0,844449,135918,66,171958,32.0,41670,1127,619,1505,1300,9,1,98127,15295,12829,10,17.0,15.0,0,0.0,162,5,18,81,True
24,0.0,0.0,52,0.0,0,25,83863,16.8,0.0,22,26515.0,108183,26515,176601,0.0,23,10,2,4,0.0,0.0,True,True,0.0,73190,66225,0.0,4,10.0,5.0,118,12,50,923,30,6,489.0,152003,29952,36364,0.0,288,1,0.0,3.0,0,0.0,0,721998,81085,102528,0.0,0,0,163.0,120,2106.0,0.0,949828,116755,0,151304,0.0,56959,0,678,1200,684,5,0,75822,5716,12408,9,25.0,35.0,0,0.0,177,13,19,65,True
25,0.0,0.0,24,0.0,1,1,72092,15.0,0.0,13,13512.0,44617,13512,110181,0.0,50,6,1,1,0.0,0.0,False,False,0.0,62757,58745,0.0,1,1.0,20.0,103,4,23,2051,7,6,459.2,153853,32706,30574,0.0,125,0,5.0,0.0,1,0.0,0,525111,59057,114785,0.0,0,0,113.4,76,2106.0,0.0,731315,100522,111,151078,0.0,26428,1742,645,450,1574,11,0,52347,8754,5715,7,7.0,50.0,0,0.0,107,7,12,48,False
26,1.0,17.0,62,0.0,0,3,78535,16.2,40.0,5,21646.0,55862,21646,104306,0.0,28,1,5,2,54.0,0.0,False,False,10.0,64072,58175,0.0,2,2.0,0.0,96,7,41,1046,25,8,702.0,251666,60565,42844,0.0,204,1,0.0,3.0,1,45.0,0,433708,68668,82790,0.0,0,0,450.8,179,1964.0,149.0,771692,146152,1508,131463,26.0,38337,1691,533,1562,868,13,1,86313,16912,5824,9,16.0,25.0,0,0.0,105,1,2,56,True
27,5.0,15.0,33,0.0,0,0,67891,14.6,26.0,13,15434.0,50650,15434,145108,0.0,41,1,2,2,28.0,4.0,True,False,5.0,55735,51430,0.0,0,0.0,10.0,91,5,28,2962,11,6,735.2,191634,39866,63538,2.0,172,0,5.0,0.0,0,16.0,0,415534,55594,105141,0.0,0,0,296.6,106,1964.0,123.0,699716,101290,0,185597,5.0,50218,605,514,754,1398,7,0,92542,5826,16912,4,7.0,45.0,0,0.0,94,2,3,48,False
28,0.0,0.0,52,0.0,1,8,72718,15.4,0.0,31,20727.0,104601,20727,139648,0.0,15,10,2,4,0.0,0.0,True,False,0.0,64556,58125,0.0,4,12.0,0.0,119,9,37,2260,19,7,1098.8,91977,21098,44057,0.0,235,1,0.0,4.0,0,0.0,0,615597,77685,67737,0.0,0,0,266.0,145,1988.0,0.0,749538,101786,3177,122955,0.0,35370,832,601,1695,536,9,1,41960,2999,11158,10,22.0,5.0,0,0.0,177,15,17,62,True
29,0.0,0.0,31,0.0,0,1,64288,14.2,0.0,15,4621.0,19766,4621,106697,0.0,37,6,1,1,0.0,0.0,False,False,0.0,53580,52538,0.0,0,0.0,20.0,108,2,15,1411,8,6,658.2,217446,39946,22211,0.0,145,0,5.0,0.0,0,0.0,0,390777,38390,97465,0.0,0,0,197.6,135,1988.0,0.0,653966,86796,2631,123275,0.0,17639,435,592,1174,985,7,1,45739,8456,3594,1,1.0,50.0,0,0.0,98,7,12,60,False
30,0.0,9.0,12,0.0,0,10,36126,10.2,3.0,13,29100.0,48591,29100,26176,0.0,7,2,0,2,10.0,1.0,False,True,3.0,32250,25740,1.0,1,2.0,0.0,55,4,15,401,12,5,479.8,88873,12659,14094,0.0,128,0,0.0,0.0,0,12.0,0,197985,22631,34873,2.0,0,0,80.2,107,1063.0,0.0,330196,36398,196,49212,0.0,7246,164,286,758,138,5,0,43334,1105,242,6,10.0,0.0,0,0.0,62,3,4,29,True
31,1.0,24.0,7,0.0,0,0,26119,8.6,21.0,13,828.0,24636,828,29331,0.0,15,4,1,0,4.0,0.0,True,False,4.0,22581,20610,3.0,0,0.0,5.0,47,1,7,421,4,5,450.0,51730,11934,14378,0.0,48,0,0.0,0.0,0,26.0,0,114610,16994,36592,3.0,0,0,103.6,34,1063.0,0.0,188401,29174,611,52078,0.0,9930,2570,224,429,314,7,0,22057,242,1104,0,0.0,30.0,0,0.0,43,5,2,18,False
32,0.0,0.0,10,0.0,0,0,40819,11.4,0.0,17,493.0,14617,493,54949,0.0,33,7,0,0,0.0,0.0,False,False,0.0,33805,31350,0.0,0,0.0,0.0,85,1,12,245,2,5,538.6,77850,10247,31445,0.0,131,0,0.0,0.0,0,0.0,0,177549,16459,42652,0.0,0,0,125.8,56,1432.0,0.0,293393,29190,0,76776,0.0,9943,172,360,705,846,7,0,37990,2480,2674,0,0.0,25.0,0,0.0,88,10,9,39,False
33,0.0,0.0,32,0.0,0,11,48973,12.2,0.0,7,16118.0,42815,16118,31573,0.0,12,1,5,3,0.0,0.0,True,True,0.0,46015,39645,0.0,0,0.0,0.0,71,7,33,643,22,9,788.4,88143,29412,11894,0.0,80,0,0.0,0.0,0,0.0,0,241352,29178,39462,0.0,0,0,219.0,178,1432.0,0.0,375391,61268,552,53841,0.0,13316,226,425,733,299,7,1,45894,2675,2479,5,13.0,0.0,0,0.0,55,1,3,34,True
34,0.0,13.0,98,1.0,1,23,112257,18.0,45.0,22,16426.0,97328,16426,236701,0.0,46,9,3,2,39.0,7.0,False,False,19.0,86399,75185,1.0,1,5.0,15.0,130,13,56,937,24,8,399.2,327410,72367,61289,0.0,161,1,0.0,4.0,0,36.0,0,636017,95658,114168,4.0,0,0,216.4,248,2425.0,113.0,1126564,197760,0,193197,12.0,48734,9984,752,2262,1365,14,1,163135,29728,17738,7,17.0,55.0,0,1.0,169,10,18,85,True
35,0.0,30.0,69,1.0,1,0,81728,16.2,32.0,32,29264.0,110685,29264,291719,0.0,56,11,2,4,53.0,0.0,True,True,12.0,77175,74355,0.0,3,4.0,5.0,130,10,46,1035,19,7,796.0,229869,57338,76502,0.0,225,0,5.0,0.0,1,120.0,0,566247,80352,132971,6.0,0,0,347.2,216,2425.0,132.0,920763,156610,5593,240408,33.0,42232,9783,646,1751,2080,26,0,124644,18917,30929,11,17.0,40.0,0,0.0,259,15,31,96,False
36,1.0,16.0,19,0.0,0,3,77037,15.8,6.0,13,10323.0,24133,10323,118953,0.0,47,4,0,1,12.0,4.0,True,False,9.0,58438,53450,1.0,0,0.0,10.0,94,7,27,1236,10,5,565.8,159483,37114,38634,0.0,108,0,5.0,0.0,0,28.0,0,493284,60358,97510,1.0,0,0,176.2,71,2074.0,0.0,724982,101970,187,149470,0.0,19443,782,687,971,1534,8,0,72212,4494,13320,3,3.0,50.0,0,0.0,119,7,6,54,False
37,2.0,23.0,51,1.0,0,11,89501,17.0,15.0,10,22800.0,85241,22800,106880,0.0,27,3,3,4,23.0,7.0,False,True,3.0,71278,67140,1.0,2,3.0,0.0,86,9,47,3034,23,8,627.4,154958,36268,42227,0.0,221,1,0.0,1.0,0,30.0,0,729987,79030,95584,0.0,0,0,90.2,110,2074.0,0.0,958276,128622,420,142309,0.0,46627,3996,686,1253,822,7,1,73327,13320,4493,9,16.0,15.0,0,0.0,125,3,7,53,True
38,1.0,14.0,20,0.0,0,16,41026,11.2,6.0,4,18343.0,37428,18343,32422,0.0,7,0,2,0,28.0,0.0,True,True,6.0,40301,34450,2.0,0,0.0,0.0,64,6,27,2263,20,8,234.6,78611,10836,10693,0.0,104,0,0.0,0.0,0,15.0,0,245148,26428,39460,1.0,0,0,166.8,70,1155.0,0.0,371811,40561,0,51533,0.0,5953,0,381,976,118,5,1,48046,3292,1377,7,12.0,0.0,0,0.0,42,0,4,20,True
39,2.0,12.0,11,0.0,0,0,28982,9.2,9.0,13,716.0,16726,716,30651,0.0,27,4,1,1,30.0,1.0,False,False,7.0,25027,21435,1.0,0,0.0,0.0,58,1,7,297,2,5,382.2,61084,9288,11584,1.0,72,0,0.0,0.0,0,17.0,0,146968,13908,39691,3.0,0,0,168.4,26,1155.0,0.0,232106,24578,480,54573,0.0,3388,736,236,392,475,8,0,24050,1377,3292,0,0.0,35.0,0,0.0,65,4,2,33,False
40,14.0,27.0,60,1.0,2,2,96838,17.6,38.0,14,24400.0,134108,24400,168846,0.0,38,3,8,3,36.0,1.0,False,True,8.0,79392,72180,1.0,3,6.0,5.0,110,12,58,2158,22,9,812.2,637630,119943,86540,0.0,280,0,5.0,0.0,1,22.0,0,340012,43227,107918,0.0,0,0,80.6,134,2452.0,157.0,1047991,169177,0,202052,51.0,54180,1042,525,1191,1480,8,1,70344,6002,7587,10,16.0,35.0,0,0.0,213,5,17,71,False
41,12.0,39.0,44,7.0,1,13,99631,17.2,173.0,22,18312.0,73833,18312,110996,0.0,58,2,3,3,50.0,6.0,True,False,9.0,76650,71060,4.0,1,2.0,15.0,141,6,38,736,17,7,634.0,322003,82541,120789,0.0,134,1,0.0,3.0,1,48.0,0,533851,74122,68298,3.0,0,0,150.2,143,2452.0,94.0,1102504,164256,4810,195093,8.0,38566,3898,744,914,2023,13,0,246644,7590,6001,7,11.0,50.0,0,0.0,130,2,6,68,True
42,0.0,0.0,35,0.0,0,1,90646,17.0,0.0,11,24560.0,72859,24560,199393,0.0,56,3,2,1,0.0,0.0,True,True,0.0,77301,80710,0.0,4,8.0,0.0,111,7,45,1548,17,7,726.0,265740,68000,108837,0.0,162,1,0.0,1.0,0,0.0,0,701914,126526,83962,0.0,0,0,158.2,101,2582.0,0.0,1013214,208545,0,216137,0.0,44587,1164,709,1059,2344,8,0,45555,14015,23333,10,13.0,25.0,0,0.0,208,3,9,89,True
43,0.0,0.0,45,0.0,1,2,105581,17.6,0.0,8,9371.0,91365,9371,236797,0.0,45,1,8,4,0.0,0.0,False,False,0.0,81143,72675,0.0,0,0.0,20.0,110,14,55,871,20,9,575.0,531203,107423,71944,0.0,229,0,5.0,0.0,0,0.0,0,426924,52632,169663,0.0,0,0,135.0,88,2582.0,0.0,1088301,182087,0,255627,0.0,70895,0,718,696,1543,5,0,130173,22027,14014,4,4.0,55.0,0,0.0,140,1,3,66,False
44,2.0,16.0,18,6.0,0,1,66980,14.6,6.0,11,12667.0,38336,12667,65257,0.0,45,3,3,1,88.0,3.0,False,True,8.0,58900,56100,1.0,0,0.0,5.0,90,3,20,968,6,4,503.0,286924,53911,57029,0.0,152,0,5.0,0.0,1,26.0,0,337113,38601,70431,1.0,0,0,218.0,186,2088.0,0.0,694245,101703,868,129758,0.0,25050,265,575,1841,1453,7,0,70204,9187,2295,4,6.0,45.0,0,0.0,115,4,8,61,False
45,9.0,61.0,42,0.0,2,4,82347,16.2,27.0,26,19322.0,125577,19322,141630,0.0,20,11,6,4,20.0,6.0,True,False,1.0,64091,58840,3.0,0,0.0,0.0,117,11,45,1019,15,8,944.8,223614,55477,58124,0.0,193,1,0.0,3.0,0,92.0,0,444395,43908,64629,1.0,0,0,163.8,125,2088.0,0.0,749404,101701,2013,133570,0.0,45128,377,542,1328,717,6,1,81392,2314,10810,9,16.0,20.0,0,1.0,179,11,21,69,True
46,2.0,16.0,30,0.0,0,0,68642,15.2,17.0,35,11686.0,39702,11686,81250,0.0,54,16,2,2,17.0,1.0,False,True,2.0,58131,56378,1.0,0,0.0,20.0,132,10,36,1388,11,7,511.4,137751,28967,61313,0.0,83,0,5.0,0.0,0,20.0,0,464898,52775,75126,3.0,0,0,248.0,94,1956.0,60.0,646365,87403,0,142577,0.0,17067,0,585,688,1598,5,0,43714,5658,6132,3,6.0,55.0,0,0.0,108,16,4,45,False
47,3.0,18.0,46,1.0,1,8,81883,16.4,86.0,9,19861.0,72679,19861,68623,0.0,36,4,6,2,23.0,1.0,True,False,8.0,70252,62075,3.0,4,7.0,0.0,96,11,53,167,26,9,547.8,295558,60164,33041,0.0,173,1,0.0,3.0,0,23.0,0,437601,53417,79563,3.0,0,0,197.2,94,1956.0,102.0,782246,119719,628,118267,29.0,27297,174,590,1314,1077,5,0,49085,6134,5658,9,12.0,15.0,0,0.0,103,5,10,39,True
48,7.0,26.0,59,0.0,0,0,65497,14.6,45.0,24,12156.0,60764,12156,116629,0.0,41,11,7,2,27.0,1.0,True,True,39.0,62681,60483,4.0,0,0.0,10.0,113,11,49,537,21,9,859.6,282116,80742,82470,0.0,122,0,5.0,0.0,1,58.0,0,256250,49983,74176,2.0,0,0,120.0,125,2011.0,62.0,582169,138742,1953,164579,31.0,51587,7901,468,805,1389,13,1,43798,8014,7928,5,11.0,45.0,0,0.0,163,11,11,65,False
49,0.0,25.0,61,2.0,1,7,77413,15.8,46.0,12,19660.0,86538,19660,125615,0.0,49,4,5,3,9.0,0.0,False,False,23.0,65779,55550,1.0,2,8.0,0.0,95,10,41,776,15,8,380.4,284917,79679,85395,0.0,130,1,0.0,3.0,0,81.0,0,340912,44746,73247,1.0,0,0,276.4,176,2011.0,59.0,710606,132329,0,166662,34.0,42722,685,491,1338,1380,7,0,84772,7899,8013,9,17.0,30.0,0,0.0,138,4,9,72,True
50,1.0,43.0,20,0.0,0,0,34106,10.0,12.0,16,6185.0,16905,6185,53622,0.0,30,4,0,1,53.0,0.0,False,False,4.0,34037,31650,2.0,0,0.0,5.0,74,4,17,607,7,5,632.4,53483,11258,11345,0.0,60,0,0.0,0.0,1,57.0,0,214868,26108,57787,0.0,0,0,134.6,75,1239.0,34.0,283866,39227,165,73599,4.0,14367,244,347,462,504,7,0,15511,1857,4465,1,1.0,40.0,0,2.0,64,6,4,30,False
51,2.0,34.0,49,1.0,0,14,40311,10.8,15.0,12,27780.0,62312,27780,33720,0.0,17,5,2,2,17.0,2.0,True,True,4.0,43336,33930,3.0,1,4.0,0.0,68,6,30,909,13,7,393.2,56304,10914,11707,0.0,118,0,0.0,0.0,0,43.0,0,232520,41766,45190,0.0,1,0,202.6,63,1239.0,66.0,517393,57147,2544,58756,32.0,16701,0,309,421,321,5,2,228560,4465,1857,8,24.0,5.0,0,0.0,83,6,5,36,True
52,0.0,0.0,40,0.0,0,5,46522,12.0,0.0,17,20205.0,55293,20205,40514,0.0,18,6,5,2,0.0,0.0,True,True,0.0,48443,43175,0.0,2,3.0,0.0,77,6,30,1305,12,7,619.2,68886,12096,30981,0.0,141,1,0.0,3.0,0,0.0,0,330470,45562,39728,0.0,1,0,250.8,92,1293.0,0.0,432982,60629,600,72710,0.0,11632,749,418,794,454,7,2,33622,2967,1994,9,18.0,0.0,0,0.0,106,8,6,39,True
53,0.0,0.0,31,0.0,0,0,39934,11.0,0.0,16,598.0,4695,598,42611,0.0,30,7,0,0,0.0,0.0,False,False,0.0,33818,32110,0.0,0,0.0,10.0,76,3,18,288,8,5,501.2,164031,29951,13736,0.0,78,0,5.0,0.0,0,0.0,0,75637,9669,57996,0.0,0,0,118.0,77,1293.0,0.0,252874,41743,2323,75029,0.0,23820,7060,312,1170,609,12,0,13203,2121,3292,0,0.0,45.0,0,0.0,49,7,1,28,False
