,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodKill,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
243,0.0,0.0,0,0.0,0,0,505,1.2,1.0,6,0.0,0,0,186,0.0,0,0,0,0,0.0,0.0,False,False,0.0,2635,2500,0.0,0,0.0,0.0,13,0,0,0,0,0,0.0,5,0,69,0.0,4,0,0.0,0.0,0,0.0,0,2105,0,398,0.0,0,0,225.2,0,111.0,0.0,2916,0,0,467,0.0,5,0,2,0,0,1,0,805,0,0,0,0.0,0.0,0,0.0,0,0,0,2,True
244,0.0,0.0,1,0.0,0,2,4367,2.8,0.0,7,0.0,0,0,1388,0.0,0,0,0,0,0.0,0.0,True,False,0.0,5583,2500,0.0,0,0.0,0.0,18,0,2,0,0,2,0.0,4439,492,901,0.0,16,0,0.0,0.0,0,0.0,0,15823,1603,2681,0.0,0,0,153.8,7,208.0,0.0,22591,2141,0,3583,0.0,931,0,41,92,0,3,0,2328,44,0,0,0.0,0.0,0,0.0,3,1,0,3,True
245,0.0,0.0,0,0.0,0,0,3115,2.2,0.0,7,0.0,441,0,1824,0.0,2,0,0,0,0.0,0.0,False,False,0.0,4644,2575,0.0,0,0.0,0.0,16,0,0,156,0,0,29.2,9701,569,546,0.0,20,0,0.0,0.0,0,0.0,0,10647,390,3808,0.0,0,0,130.6,1,208.0,0.0,21611,961,0,4401,0.0,916,0,31,107,14,1,0,1262,0,44,0,0.0,0.0,0,0.0,4,1,0,4,False
246,4.0,2.0,24,1.0,0,8,49306,12.2,1.0,14,16120.0,44970,16120,43406,0.0,9,4,2,1,6.0,1.0,True,True,8.0,44624,40140,0.0,1,2.0,0.0,80,8,28,747,16,6,801.2,156836,23695,19202,0.0,116,0,0.0,0.0,0,12.0,0,221252,41881,34227,0.0,0,0,230.8,118,1281.0,0.0,443567,69263,73,55240,0.0,3554,271,416,1169,243,7,0,65477,3681,1808,8,12.0,0.0,0,0.0,78,6,6,36,True
247,0.0,4.0,10,0.0,0,0,37433,10.6,37.0,18,835.0,7894,835,55078,0.0,28,6,0,1,28.0,3.0,False,False,6.0,30041,26750,3.0,0,0.0,5.0,77,1,9,320,2,4,503.6,88101,17023,24682,4.0,60,0,0.0,0.0,0,26.0,0,136258,15832,56092,0.0,0,0,227.8,55,1281.0,0.0,259425,34666,1706,84460,0.0,8316,658,352,391,605,8,0,35064,1809,3680,0,0.0,40.0,0,0.0,75,6,5,36,False
248,0.0,20.0,48,1.0,1,1,103809,17.4,130.0,15,15385.0,84979,15385,311297,0.0,40,1,0,4,10.0,1.0,True,False,36.0,73862,67525,3.0,1,3.0,15.0,112,8,38,1019,14,4,920.2,448491,107106,98659,0.0,194,0,5.0,0.0,0,40.0,0,557289,70556,96150,0.0,0,0,187.4,484,2831.0,147.0,1070493,181006,0,207727,8.0,53433,2262,717,2245,1659,11,0,64708,3341,12914,5,10.0,55.0,0,0.0,116,1,6,60,False
249,1.0,20.0,19,0.0,1,12,112604,17.4,18.0,29,23487.0,112298,23487,314921,0.0,39,9,4,2,138.0,4.0,False,True,9.0,81666,72758,0.0,3,3.0,5.0,135,6,40,1088,15,8,860.4,597718,94791,115478,0.0,351,1,0.0,3.0,0,33.0,0,645229,57292,146325,0.0,0,0,154.4,130,2831.0,245.0,1348090,165003,586,265146,25.0,72437,0,807,1286,1667,5,2,105140,12915,3340,11,16.0,30.0,0,0.0,211,11,4,74,True
250,1.0,19.0,35,0.0,1,13,49829,12.6,52.0,16,15416.0,60050,15416,44090,0.0,6,4,3,2,15.0,0.0,False,True,6.0,42623,37550,2.0,1,4.0,0.0,65,6,23,402,20,7,917.2,77987,13718,13269,0.0,127,1,0.0,4.0,0,32.0,0,164178,21925,37705,0.0,0,0,108.4,119,1487.0,77.0,548175,46666,2330,53066,14.0,10422,1062,371,839,141,12,0,306004,11018,2085,7,23.0,15.0,0,0.0,92,5,1,47,True
251,0.0,13.0,7,1.0,0,0,36471,10.0,0.0,13,12488.0,17033,12488,53970,0.0,23,1,0,0,13.0,2.0,True,False,5.0,35246,29925,1.0,0,0.0,5.0,59,1,6,767,2,3,513.2,54877,12512,14997,0.0,70,0,5.0,0.0,0,5.0,0,270764,23737,38716,0.0,0,0,127.2,76,1487.0,59.0,371924,38340,0,64735,4.0,13855,0,420,1058,598,4,0,46279,2086,11018,3,3.0,35.0,0,0.0,66,1,0,37,False
252,1.0,15.0,5,0.0,0,1,44270,11.6,10.0,16,6187.0,11004,6187,59645,0.0,27,5,0,0,15.0,3.0,False,False,3.0,35069,30860,0.0,0,0.0,5.0,78,2,9,616,7,3,569.4,102056,12618,28961,0.0,94,0,0.0,0.0,0,11.0,0,238428,29459,60398,0.0,0,0,81.8,109,1404.0,0.0,410936,46338,309,92216,0.0,10000,1872,443,1335,673,9,0,70447,4258,2853,2,2.0,40.0,0,0.0,56,6,9,20,False
