,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,firstBloodKill,firstTowerKill,win
10,13.0,9.0,-28.0,1.0,-2.0,-14.0,-16965.0,-1.799999999999999,33.0,12.0,-13894.0,-61454.0,-13894.0,34461.0,0.0,20.0,5.0,-2.0,0.0,13.0,1.0,4.0,-13005.0,-10785.0,2.0,-5.0,-8.0,25.0,9.0,-6.0,-20.0,198.0,-13.0,-3.0,-232.0,-391228.0,-67647.0,67012.0,5.0,-19.0,-1.0,5.0,-3.0,1.0,-5.0,0.0,323722.0,23959.0,-25750.0,0.0,0.0,0.0,-27.0,-96.0,0.0,0.0,-54991.0,-44104.0,-1763.0,41679.0,0.0,-11811.0,-1775.0,40.0,-1742.0,730.0,-5.0,0.0,12515.0,-415.0,416.0,-9.0,-15.0,45.0,0.0,-2.0,-48.0,6.0,-2.0,4.0,True,True,True
11,6.0,-15.0,-28.0,0.0,-2.0,-6.0,-14181.0,-1.0,-31.0,20.0,-16548.0,-61926.0,-16548.0,37554.0,0.0,10.0,13.0,-3.0,-5.0,-53.0,-5.0,1.0,-7479.0,-4310.0,-2.0,-3.0,-6.0,15.0,2.0,-1.0,-10.0,0.0,-14.0,-3.0,40.0,-195679.0,-32909.0,31751.0,-6.0,-6.0,-1.0,5.0,-3.0,0.0,-59.0,0.0,239996.0,29407.0,-41792.0,-4.0,0.0,0.0,-109.80000000000001,-36.0,0.0,-3.0,15541.0,-12965.0,3988.0,-7268.0,-10.0,-8165.0,1109.0,-42.0,-322.0,440.0,0.0,-1.0,-28774.0,-9464.0,2776.0,-7.0,-11.0,40.0,0.0,1.0,0.0,11.0,-15.0,-7.0,False,False,False
12,0.0,0.0,28.0,0.0,-1.0,24.0,11771.0,1.8000000000000007,0.0,9.0,13003.0,63566.0,13003.0,66420.0,0.0,-27.0,4.0,1.0,3.0,0.0,0.0,0.0,10433.0,7480.0,0.0,3.0,9.0,-15.0,15.0,8.0,27.0,-1128.0,23.0,0.0,29.80000000000001,-1850.0,-2754.0,5790.0,0.0,163.0,1.0,-5.0,3.0,-1.0,0.0,0.0,196887.0,22028.0,-12257.0,0.0,0.0,0.0,49.599999999999994,44.0,0.0,0.0,218513.0,16233.0,-111.0,226.0,0.0,30531.0,-1742.0,33.0,750.0,-890.0,-6.0,0.0,23475.0,-3038.0,6693.0,2.0,18.0,-15.0,0.0,0.0,70.0,6.0,7.0,17.0,True,False,False
13,-4.0,2.0,29.0,0.0,0.0,3.0,10644.0,1.5999999999999996,14.0,-8.0,6212.0,5212.0,6212.0,-40802.0,0.0,-13.0,0.0,3.0,0.0,26.0,-4.0,5.0,8337.0,6745.0,0.0,2.0,2.0,-10.0,5.0,2.0,13.0,-1916.0,14.0,2.0,-33.200000000000045,60032.0,20699.0,-20694.0,-2.0,32.0,1.0,-5.0,3.0,1.0,29.0,0.0,18174.0,13074.0,-22351.0,0.0,0.0,0.0,154.2,73.0,0.0,26.0,71976.0,44862.0,1508.0,-54134.0,21.0,-11881.0,1086.0,19.0,808.0,-530.0,6.0,1.0,-6229.0,11086.0,-11088.0,5.0,9.0,-20.0,0.0,0.0,11.0,-1.0,-1.0,8.0,False,True,True
14,0.0,0.0,21.0,0.0,1.0,7.0,8430.0,1.200000000000001,0.0,16.0,16106.0,84835.0,16106.0,32951.0,0.0,-22.0,4.0,1.0,3.0,0.0,0.0,0.0,10976.0,5587.0,0.0,4.0,12.0,-20.0,11.0,7.0,22.0,849.0,11.0,1.0,440.5999999999999,-125469.0,-18848.0,21846.0,0.0,90.0,1.0,-5.0,4.0,0.0,0.0,0.0,224820.0,39295.0,-29728.0,0.0,0.0,0.0,68.4,10.0,0.0,0.0,95572.0,14990.0,546.0,-320.0,0.0,17731.0,397.0,9.0,521.0,-449.0,2.0,0.0,-3779.0,-5457.0,7564.0,9.0,21.0,-45.0,0.0,0.0,79.0,8.0,5.0,2.0,True,False,True
15,-1.0,-15.0,5.0,0.0,0.0,10.0,10007.0,1.5999999999999996,-18.0,0.0,28272.0,23955.0,28272.0,-3155.0,0.0,-8.0,-2.0,-1.0,2.0,6.0,1.0,-1.0,9669.0,5130.0,-2.0,1.0,2.0,-5.0,8.0,3.0,8.0,-20.0,8.0,0.0,29.80000000000001,37143.0,725.0,-284.0,0.0,80.0,0.0,0.0,0.0,0.0,-14.0,0.0,83375.0,5637.0,-1719.0,-1.0,0.0,0.0,-23.39999999999999,73.0,0.0,0.0,141795.0,7224.0,-415.0,-2866.0,0.0,-2684.0,-2406.0,62.0,329.0,-176.0,-2.0,0.0,21277.0,863.0,-862.0,6.0,10.0,-30.0,0.0,0.0,19.0,-2.0,2.0,11.0,False,False,False
16,0.0,0.0,-22.0,0.0,0.0,-11.0,-8154.0,-0.7999999999999989,0.0,10.0,-15625.0,-28198.0,-15625.0,23376.0,0.0,21.0,6.0,-5.0,-3.0,0.0,0.0,0.0,-12210.0,-8295.0,0.0,0.0,0.0,0.0,14.0,-6.0,-21.0,-398.0,-20.0,-4.0,-249.79999999999995,-10293.0,-19165.0,19551.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,-63803.0,-12719.0,3190.0,0.0,0.0,0.0,-93.2,-122.0,0.0,0.0,-81998.0,-32078.0,-552.0,22935.0,0.0,-3373.0,-54.0,-65.0,-28.0,547.0,0.0,-1.0,-7904.0,-195.0,195.0,-5.0,-13.0,25.0,0.0,0.0,33.0,9.0,6.0,5.0,False,True,True
17,0.0,-17.0,29.0,0.0,0.0,23.0,30529.0,1.8000000000000007,13.0,-10.0,-12838.0,-13357.0,-12838.0,-55018.0,0.0,-10.0,-2.0,1.0,-2.0,-14.0,7.0,7.0,9224.0,830.0,1.0,-2.0,1.0,10.0,0.0,3.0,10.0,-98.0,5.0,1.0,-396.8,97541.0,15029.0,-15213.0,0.0,-64.0,1.0,-5.0,4.0,-1.0,-84.0,0.0,69770.0,15306.0,-18803.0,-2.0,0.0,0.0,-130.79999999999998,32.0,0.0,-19.0,205801.0,41150.0,-5593.0,-47211.0,-21.0,6502.0,201.0,106.0,511.0,-715.0,-12.0,1.0,38491.0,10811.0,-13191.0,-4.0,0.0,15.0,0.0,1.0,-90.0,-5.0,-13.0,-11.0,True,False,False
18,-1.0,-7.0,-32.0,-1.0,0.0,-8.0,-12464.0,-1.1999999999999993,-9.0,3.0,-12477.0,-61108.0,-12477.0,12073.0,0.0,20.0,1.0,-3.0,-3.0,-11.0,-3.0,6.0,-12840.0,-13690.0,0.0,-2.0,-3.0,10.0,8.0,-2.0,-20.0,-1798.0,-13.0,-3.0,-61.60000000000002,4525.0,846.0,-3593.0,0.0,-113.0,-1.0,5.0,-1.0,0.0,-2.0,0.0,-236703.0,-18672.0,1926.0,1.0,0.0,0.0,85.99999999999999,-39.0,0.0,0.0,-233294.0,-26652.0,-233.0,7161.0,0.0,-27184.0,-3214.0,1.0,-282.0,712.0,1.0,-1.0,-1115.0,-8826.0,8827.0,-6.0,-13.0,35.0,0.0,0.0,-6.0,4.0,-1.0,1.0,False,False,True
19,-1.0,2.0,9.0,0.0,0.0,16.0,12044.0,2.0,-3.0,-9.0,17627.0,20702.0,17627.0,1771.0,0.0,-20.0,-4.0,1.0,-1.0,-2.0,-1.0,-1.0,15274.0,13015.0,1.0,0.0,0.0,0.0,6.0,5.0,20.0,1966.0,18.0,3.0,-147.6,17527.0,1548.0,-891.0,-1.0,32.0,0.0,0.0,0.0,0.0,-2.0,0.0,98180.0,12520.0,-231.0,-2.0,0.0,0.0,-1.5999999999999943,44.0,0.0,0.0,139705.0,15983.0,-480.0,-3040.0,0.0,2565.0,-736.0,145.0,584.0,-357.0,-3.0,1.0,23996.0,1915.0,-1915.0,7.0,12.0,-35.0,0.0,0.0,-23.0,-4.0,2.0,-13.0,True,False,False
